Clock_Time, Current, V_battery, CCF, SoC
2310000,0.500000,3.910092,0.988852,0.838293 
2315000,0.500000,3.909832,0.988852,0.837920 
2320000,0.500000,3.909574,0.988852,0.837548 
2325000,0.500000,3.909315,0.988851,0.837175 
2330000,0.500000,3.909056,0.988851,0.836803 
2335000,0.500000,3.908798,0.988851,0.836430 
2340000,0.500000,3.908540,0.988851,0.836058 
2345000,0.500000,3.908282,0.988851,0.835685 
2350000,0.500000,3.908024,0.988851,0.835313 
2355000,0.500000,3.907767,0.988851,0.834940 
2360000,0.500000,3.907509,0.988851,0.834568 
2365000,0.500000,3.907252,0.988851,0.834195 
2370000,0.500000,3.906995,0.988851,0.833822 
2375000,0.500000,3.906738,0.988851,0.833450 
2380000,0.500000,3.906481,0.988850,0.833077 
2385000,0.500000,3.906225,0.988850,0.832705 
2390000,0.500000,3.905969,0.988850,0.832332 
2395000,0.500000,3.905713,0.988850,0.831960 
2400000,0.500000,3.905457,0.988850,0.831587 
2405000,0.500000,3.905201,0.988850,0.831215 
2410000,0.500000,3.904946,0.988850,0.830842 
2415000,0.500000,3.904691,0.988850,0.830470 
2420000,0.500000,3.904435,0.988850,0.830097 
2425000,0.500000,3.904180,0.988850,0.829725 
2430000,0.500000,3.903925,0.988850,0.829352 
2435000,0.500000,3.903671,0.988849,0.828980 
2440000,0.500000,3.903417,0.988849,0.828607 
2445000,0.500000,3.903162,0.988849,0.828235 
2450000,0.500000,3.902908,0.988849,0.827862 
2455000,0.500000,3.902654,0.988849,0.827489 
2460000,0.500000,3.902401,0.988849,0.827117 
2465000,0.500000,3.902147,0.988849,0.826744 
2470000,0.500000,3.901894,0.988849,0.826372 
2475000,0.500000,3.901641,0.988849,0.825999 
2480000,0.500000,3.901388,0.988849,0.825627 
2485000,0.500000,3.901136,0.988849,0.825254 
2490000,0.500000,3.900883,0.988848,0.824882 
2495000,0.500000,3.900631,0.988848,0.824509 
2500000,0.500000,3.900379,0.988848,0.824137 
2505000,0.500000,3.900127,0.988848,0.823764 
2510000,0.500000,3.899875,0.988848,0.823392 
2515000,0.500000,3.899624,0.988848,0.823019 
2520000,0.500000,3.899372,0.988848,0.822647 
2525000,0.500000,3.899121,0.988848,0.822274 
2530000,0.500000,3.898870,0.988848,0.821902 
2535000,0.500000,3.898619,0.988848,0.821529 
2540000,0.500000,3.898369,0.988847,0.821157 
2545000,0.500000,3.898118,0.988847,0.820784 
2550000,0.500000,3.897868,0.988847,0.820411 
2555000,0.500000,3.897618,0.988847,0.820039 
